Resolution,InstancingMethod,QuadtreeDepth,GlyphAtlas,UseShadows,Frametime,Framerate
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.20000000298023,29.239766079323353
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.29999999701977,29.154518952970474
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.30000001192093,29.154518940304694
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.3999999910593,29.069767449415814
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.400000005960464,29.069767436823568
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
1440x773,None,3,lodAtlas,true,34.5,28.985507246376812
